dir,n_model_files,file_kinds,train_datasets,n_train_flows,n_test_flows,evidence_file,status,note
artifacts/ensemble/diverse_bagging_robust13,9,.pkl,"iscx,usbvpn,vnat",51499,9384,predictions.csv,3-DS ✅,
artifacts/ensemble/diverse_bagging_robust9,9,.pkl,"iscx,usbvpn,vnat",51499,9384,predictions.csv,3-DS ✅,
artifacts/ensemble/lood_iscx,9,.pkl,"usbvpn,vnat",41230,1278,predictions.csv,2-DS (by design),LODO: holdout = ISCX
artifacts/ensemble/lood_usbvpn,9,.pkl,"iscx,vnat",10645,6810,predictions.csv,2-DS (by design),LODO: holdout = USBVPN
artifacts/ensemble/lood_vnat,9,.pkl,"iscx,usbvpn",47137,407,predictions.csv,2-DS (by design),LODO: holdout = VNAT
artifacts/experiments/ablation_3f_core,9,.pkl,"iscx,usbvpn,vnat",49506,8495,predictions.csv,3-DS ✅,
artifacts/experiments/ablation_4f_no_p25,9,.pkl,"iscx,usbvpn,vnat",49506,8495,predictions.csv,3-DS ✅,
artifacts/experiments/ablation_4f_no_p75,9,.pkl,"iscx,usbvpn,vnat",49506,8495,predictions.csv,3-DS ✅,
artifacts/experiments/baseline_2ds,9,.pkl,"iscx,vnat",15625,1890,predictions.csv,2-DS (by design),Baseline 2-DS experiment (ISCX+VNAT)
artifacts/experiments/baseline_3ds,9,.pkl,"iscx,usbvpn,vnat",54857,8733,predictions.csv,3-DS ✅,
artifacts/experiments/exp_a_no_direction,9,.pkl,"iscx,usbvpn,vnat",54857,8733,predictions.csv,3-DS ✅,
artifacts/experiments/exp_b_balanced,9,.pkl,"iscx,usbvpn,vnat",31306,8733,predictions.csv,3-DS ✅,
artifacts/experiments/exp_b_balanced_sample,9,.pkl,"iscx,usbvpn,vnat",21303,8495,predictions.csv,3-DS ✅,
artifacts/experiments/exp_c_combined,9,.pkl,"iscx,usbvpn,vnat",31306,8733,predictions.csv,3-DS ✅,
artifacts/experiments/exp_d1_safe_expanded,9,.pkl,"iscx,usbvpn,vnat",31306,8733,predictions.csv,3-DS ✅,
artifacts/experiments/exp_d2_full_expanded,9,.pkl,"iscx,usbvpn,vnat",31306,8733,predictions.csv,3-DS ✅,
artifacts/experiments/exp_d_iat_balanced,9,.pkl,"iscx,usbvpn,vnat",31306,8733,predictions.csv,3-DS ✅,
artifacts/experiments/exp_d_iat_expanded,9,.pkl,"iscx,usbvpn,vnat",49506,8495,predictions.csv,3-DS ✅,
artifacts/experiments/exp_db_iat_balanced,9,.pkl,"iscx,usbvpn,vnat",21303,8495,predictions.csv,3-DS ✅,
artifacts/experiments/exp_e_adversarial,9,.pkl,"iscx,usbvpn,vnat",31306,8733,predictions.csv,3-DS ✅,
artifacts/experiments/exp_f1_light_balance,9,.pkl,"iscx,usbvpn,vnat",45058,8733,predictions.csv,3-DS ✅,
artifacts/experiments/exp_f2_strict_reg,9,.pkl,"iscx,usbvpn,vnat",31306,8733,predictions.csv,3-DS ✅,
artifacts/experiments/exp_f4_diverse_bagging,9,.pkl,"iscx,usbvpn,vnat",31306,8733,predictions.csv,3-DS ✅,
artifacts/experiments/exp_f5_weighted_usb,9,.pkl,"iscx,usbvpn,vnat",35664,8733,predictions.csv,3-DS ✅,
artifacts/experiments/exp_f6_ratio_1_5,9,.pkl,"iscx,usbvpn,vnat",31306,8733,predictions.csv,3-DS ✅,
artifacts/experiments/exp_f6_ratio_2_0,9,.pkl,"iscx,usbvpn,vnat",31306,8733,predictions.csv,3-DS ✅,
artifacts/experiments/exp_f6_ratio_3_0,9,.pkl,"iscx,usbvpn,vnat",31306,8733,predictions.csv,3-DS ✅,
artifacts/experiments/exp_f7_cat-heavy,9,.pkl,"iscx,usbvpn,vnat",31306,8733,predictions.csv,3-DS ✅,
artifacts/experiments/exp_f7_lgbm-heavy,9,.pkl,"iscx,usbvpn,vnat",31306,8733,predictions.csv,3-DS ✅,
artifacts/experiments/exp_f7_xgb-heavy,9,.pkl,"iscx,usbvpn,vnat",31306,8733,predictions.csv,3-DS ✅,
artifacts/experiments/exp_f9_reduced,9,.pkl,"iscx,usbvpn,vnat",31306,8733,predictions.csv,3-DS ✅,
artifacts/experiments/feature_leakage_reduction/exp_3f-core,9,.pkl,"iscx,usbvpn,vnat",40583,8733,predictions.csv,3-DS ✅,
artifacts/experiments/feature_leakage_reduction/exp_3f-core-v2,9,.pkl,"iscx,usbvpn,vnat",40583,8733,predictions.csv,3-DS ✅,
artifacts/experiments/feature_leakage_reduction/exp_4f-drop-p25,9,.pkl,"iscx,usbvpn,vnat",40583,8733,predictions.csv,3-DS ✅,
artifacts/experiments/feature_leakage_reduction/exp_4f-drop-p75,9,.pkl,"iscx,usbvpn,vnat",40583,8733,predictions.csv,3-DS ✅,
artifacts/experiments/feature_leakage_reduction/exp_5f-baseline,9,.pkl,"iscx,usbvpn,vnat",40583,8733,predictions.csv,3-DS ✅,
artifacts/leave_two_out/iscx,9,.pkl,iscx,9561,55081,predictions.csv,2-DS (by design),Leave-TWO-out: train on ISCX only
artifacts/leave_two_out/usbvpn,9,.pkl,usbvpn,41245,14680,predictions.csv,2-DS (by design),Leave-TWO-out: train on USBVPN only
artifacts/leave_two_out/vnat,9,.pkl,vnat,2487,63963,predictions.csv,2-DS (by design),Leave-TWO-out: train on VNAT only
artifacts/lood_firewall_tuned/hold_iscx,9,.pkl,"usbvpn,vnat",41230,11781,predictions.csv,2-DS (by design),LODO: holdout = ISCX
artifacts/lood_firewall_tuned/hold_usbvpn,9,.pkl,"iscx,vnat",10645,52182,predictions.csv,2-DS (by design),LODO: holdout = USBVPN
artifacts/lood_firewall_tuned/hold_vnat,9,.pkl,"iscx,usbvpn",47137,2899,predictions.csv,2-DS (by design),LODO: holdout = VNAT
artifacts/thesis_finalization/lodo_test_iscx,9,.pkl,"usbvpn,vnat",46566,19251,predictions.csv,2-DS (by design),LODO test: holdout = ISCX (thesis_finalization)
artifacts/thesis_finalization/lodo_test_usbvpn,9,.pkl,"iscx,vnat",15625,54594,predictions.csv,2-DS (by design),LODO test: holdout = USBVPN (thesis_finalization)
artifacts/thesis_finalization/lodo_test_vnat,9,.pkl,"iscx,usbvpn",47523,16233,predictions.csv,2-DS (by design),LODO test: holdout = VNAT (thesis_finalization)
